Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.990000,9.010000,8.930000,8.990000,3.703943,369600
2020-01-03,8.880000,8.900000,8.820000,8.820000,3.633902,269700
2020-01-06,8.900000,9.020000,8.890000,9.000000,3.708064,418900
2020-01-07,8.810000,8.820000,8.730000,8.780000,3.617422,351600
2020-01-08,8.730000,8.870000,8.700000,8.800000,3.625663,336700
2020-01-09,8.920000,9.040000,8.920000,9.030000,3.720424,1115400
2020-01-10,9.050000,9.080000,9.010000,9.060000,3.732784,1679800
2020-01-13,8.860000,9.010000,8.840000,9.000000,3.708064,985300
2020-01-14,8.990000,9.000000,8.920000,8.970000,3.695704,714600
2020-01-15,8.950000,9.020000,8.930000,8.950000,3.687463,309600
2020-01-16,8.930000,9.090000,8.920000,9.060000,3.732784,926200
2020-01-17,9.020000,9.030000,8.970000,9.020000,3.716304,242600
2020-01-21,8.870000,8.900000,8.820000,8.860000,3.650383,731100
2020-01-22,8.810000,8.810000,8.680000,8.720000,3.592702,1177000
2020-01-23,8.850000,8.870000,8.730000,8.820000,3.633902,624900
2020-01-24,8.780000,8.810000,8.710000,8.730000,3.596822,550700
2020-01-27,8.360000,8.540000,8.330000,8.500000,3.502060,918100
2020-01-28,8.590000,8.720000,8.540000,8.720000,3.592702,494200
2020-01-29,8.800000,8.980000,8.800000,8.940000,3.683343,781600
2020-01-30,8.940000,9.090000,8.910000,9.080000,3.741024,419200
2020-01-31,8.990000,9.040000,8.950000,8.990000,3.703943,307500
2020-02-03,8.900000,9.000000,8.890000,8.960000,3.691584,453400
2020-02-04,9.050000,9.110000,9.020000,9.090000,3.745144,238100
2020-02-05,9.110000,9.140000,9.050000,9.120000,3.757504,342200
2020-02-06,9.190000,9.210000,9.130000,9.130000,3.761625,174700
2020-02-07,9.100000,9.100000,8.990000,9.000000,3.708064,283000
2020-02-10,9.030000,9.150000,9.030000,9.150000,3.769865,153100
2020-02-11,9.060000,9.200000,9.060000,9.130000,3.761625,249700
2020-02-12,9.170000,9.190000,9.110000,9.170000,3.778105,222700
2020-02-13,8.830000,8.930000,8.830000,8.830000,3.638022,235200
2020-02-14,8.960000,9.010000,8.890000,8.960000,3.691584,772900
2020-02-18,8.930000,9.000000,8.850000,8.980000,3.699823,459400
2020-02-19,8.700000,8.800000,8.660000,8.740000,3.600942,633700
2020-02-20,8.790000,8.860000,8.680000,8.790000,3.621542,248800
2020-02-21,8.600000,8.640000,8.450000,8.460000,3.485580,290800
2020-02-24,8.140000,8.260000,8.040000,8.220000,3.386698,263200
2020-02-25,8.180000,8.230000,7.870000,7.890000,3.250736,467000
2020-02-26,8.040000,8.110000,7.920000,7.960000,3.279576,340000
2020-02-27,7.750000,7.960000,7.630000,7.710000,3.176574,494000
2020-02-28,8.210000,8.340000,8.000000,8.150000,3.357857,1130800
2020-03-02,8.080000,8.130000,7.770000,8.020000,3.304297,523300
2020-03-03,8.330000,8.400000,8.060000,8.180000,3.370218,800100
2020-03-04,8.040000,8.070000,7.860000,8.050000,3.316657,505600
2020-03-05,7.550000,7.730000,7.480000,7.680000,3.164214,448500
2020-03-06,7.740000,7.920000,7.730000,7.840000,3.230136,344500
2020-03-09,7.400000,7.780000,7.380000,7.450000,3.069453,399500
2020-03-10,7.540000,7.560000,7.250000,7.490000,3.085933,825500
2020-03-11,7.190000,7.250000,6.900000,7.000000,2.884050,726500
2020-03-12,6.130000,6.260000,5.750000,5.990000,2.467922,1478200
2020-03-13,6.300000,6.350000,5.800000,6.340000,2.612125,1346200
2020-03-16,5.020000,5.870000,4.890000,5.240000,2.158917,743200
2020-03-17,4.880000,5.030000,4.620000,4.770000,1.965274,1560100
2020-03-18,4.010000,4.160000,3.880000,4.160000,1.713949,1536700
2020-03-19,3.850000,4.530000,3.740000,4.400000,1.812831,2809200
2020-03-20,4.190000,4.470000,4.150000,4.200000,1.730430,417300
2020-03-23,3.800000,4.060000,3.600000,3.960000,1.631548,1514500
2020-03-24,4.150000,4.280000,4.020000,4.170000,1.718070,812000
2020-03-25,4.470000,4.800000,4.460000,4.740000,1.952914,459700
2020-03-26,4.780000,5.050000,4.780000,5.000000,2.060035,925500
2020-03-27,4.600000,4.780000,4.470000,4.570000,1.882872,468500
2020-03-30,4.080000,4.180000,3.900000,4.090000,1.685109,1350000
2020-03-31,4.300000,4.350000,4.170000,4.220000,1.738670,787600
2020-04-01,3.850000,3.860000,3.690000,3.700000,1.524426,691200
2020-04-02,3.420000,3.610000,3.260000,3.500000,1.442025,772600
2020-04-03,3.250000,3.250000,3.040000,3.100000,1.277222,4472200
2020-04-06,3.640000,3.680000,3.520000,3.660000,1.507946,8452700
2020-04-07,4.330000,4.370000,4.020000,4.040000,1.664509,3106400
2020-04-08,4.030000,4.060000,3.870000,4.000000,1.648028,10670400
2020-04-09,4.230000,4.370000,4.200000,4.250000,1.751030,2657800
2020-04-13,4.280000,4.280000,4.190000,4.190000,1.726310,637200
2020-04-14,4.100000,4.250000,4.100000,4.190000,1.726310,1658900
2020-04-15,3.920000,3.930000,3.820000,3.860000,1.590347,457200
2020-04-16,3.890000,3.900000,3.780000,3.820000,1.573867,681900
